Product_code,Count,Color,Size
10101-170629-0198,20,Red,XL
10101-170629-0199,15,Yellow,XL
10101-170629-0200,22,Blue,XXL
10101-170629-0201,30,Green,XXL
10101-170629-0202,15,Black,XXXL
10101-170629-0203,21,White,XXXL
10101-170629-0204,11,Orange,XXL
10101-170629-0205,56,Spec,XXXL
10101-170629-0206,65,Red,XXL
10101-170629-0207,22,Yellow,XXL
10101-170629-0208,21,Blue,Thing
10101-170629-0209,900,Green,Pair
10101-170629-0210,50,Black,XL
10101-170629-0211,15,White,Thing
10101-170629-0212,555,Orange,Pair
10101-170629-0213,55,Spec,XXL
10101-170629-0214,70,Red,XXXL
10101-170629-0215,60,Black,Thing
10101-170629-0216,50,White,Pair
10101-170629-0233,15,XXX,XXXL
